Problem,Category,Rating
ODRL170-1,AdvDeep,0.0
ODRL171-1,AdvDeep,0.0
ODRL172-1,AdvDeep,0.0
ODRL173-1,AdvDeep,0.0
ODRL174-1,AdvDeep,0.0
ODRL175-1,AdvDeep,0.0
ODRL176-1,AdvDeep,0.0
ODRL177-1,AdvDeep,0.0
ODRL178-1,AdvDeep,0.0
ODRL179-1,AdvDeep,0.0
ODRL180-1,AdvDeep,0.0
ODRL181-1,AdvDeep,0.0
ODRL040-1,Adversarial,0.0
ODRL041-1,Adversarial,0.0
ODRL042-1,Adversarial,0.0
ODRL043-1,Adversarial,0.0
ODRL044-1,Adversarial,0.0
ODRL045-1,Adversarial,0.0
ODRL045-2,Adversarial,0.0
ODRL190-1,AlignAdv,0.0
ODRL191-1,AlignAdv,0.0
ODRL192-1,AlignAdv,0.0
ODRL193-1,AlignAdv,0.0
ODRL194-1,AlignAdv,0.0
ODRL195-1,AlignAdv,0.0
ODRL196-1,AlignAdv,0.0
ODRL197-1,AlignAdv,0.0
ODRL198-1,AlignAdv,0.0
ODRL199-1,AlignAdv,0.0
ODRL057-1,Alignment,0.0
ODRL058-1,Alignment,0.0
ODRL059-1,Alignment,0.0
ODRL059-2,Alignment,0.0
ODRL060-1,Alignment,0.0
ODRL061-1,Alignment,0.0
ODRL062-1,Alignment,0.0
ODRL062-2,Alignment,0.0
ODRL063-1,Alignment,0.0
ODRL064-1,Alignment,0.0
ODRL065-1,Alignment,0.0
ODRL065-2,Alignment,0.0
ODRL066-1,Alignment,0.0
ODRL200-1,CompDeep,0.0
ODRL201-1,CompDeep,0.0
ODRL202-1,CompDeep,0.0
ODRL203-1,CompDeep,0.0
ODRL204-1,CompDeep,0.0
ODRL205-1,CompDeep,0.0
ODRL206-1,CompDeep,0.0
ODRL207-1,CompDeep,0.0
ODRL030-1,CrossDataspace,0.0
ODRL031-1,CrossDataspace,0.0
ODRL032-1,CrossDataspace,0.0
ODRL033-1,CrossDataspace,0.0
ODRL055-1,CrossDataspace,0.0
ODRL056-1,CrossDataspace,0.0
ODRL100-1,HasPart,0.0
ODRL101-1,HasPart,0.0
ODRL102-1,HasPart,0.0
ODRL103-1,HasPart,0.0
ODRL104-1,HasPart,0.0
ODRL105-1,HasPart,0.0
ODRL106-1,HasPart,0.0
ODRL120-1,IsAllOf,0.0
ODRL121-1,IsAllOf,0.0
ODRL122-1,IsAllOf,0.0
ODRL123-1,IsAllOf,0.0
ODRL124-1,IsAllOf,0.0
ODRL125-1,IsAllOf,0.0
ODRL126-1,IsAllOf,0.0
ODRL127-1,IsAllOf,0.0
ODRL128-1,IsAllOf,0.0
ODRL110-1,IsAnyOf,0.0
ODRL111-1,IsAnyOf,0.0
ODRL112-1,IsAnyOf,0.0
ODRL113-1,IsAnyOf,0.0
ODRL114-1,IsAnyOf,0.0
ODRL115-1,IsAnyOf,0.0
ODRL116-1,IsAnyOf,0.0
ODRL117-1,IsAnyOf,0.0
ODRL118-1,IsAnyOf,0.0
ODRL130-1,IsNoneOf,0.0
ODRL131-1,IsNoneOf,0.0
ODRL132-1,IsNoneOf,0.0
ODRL133-1,IsNoneOf,0.0
ODRL134-1,IsNoneOf,0.0
ODRL135-1,IsNoneOf,0.0
ODRL136-1,IsNoneOf,0.0
ODRL137-1,IsNoneOf,0.0
ODRL138-1,IsNoneOf,0.0
ODRL139-1,IsNoneOf,0.0
ODRL050-1,Language,0.0
ODRL051-1,Language,0.0
ODRL052-1,Language,0.0
ODRL053-1,Language,0.0
ODRL054-1,Language,0.0
ODRL080-1,LogicalOr,0.0
ODRL081-1,LogicalOr,0.0
ODRL082-1,LogicalOr,0.0
ODRL083-1,LogicalOr,0.0
ODRL084-1,LogicalOr,0.0
ODRL085-1,LogicalXone,0.0
ODRL086-1,LogicalXone,0.0
ODRL087-1,LogicalXone,0.0
ODRL088-1,LogicalXone,0.0
ODRL090-1,Neq,0.0
ODRL091-1,Neq,0.0
ODRL092-1,Neq,0.0
ODRL093-1,Neq,0.0
ODRL094-1,Neq,0.0
ODRL095-1,Neq,0.0
ODRL096-1,Neq,0.0
ODRL140-1,Nominal,0.0
ODRL141-1,Nominal,0.0
ODRL142-1,Nominal,0.0
ODRL143-1,Nominal,0.0
ODRL144-1,Nominal,0.0
ODRL145-1,Nominal,0.0
ODRL146-1,Nominal,0.0
ODRL147-1,Nominal,0.0
ODRL150-1,OperatorPairs,0.0
ODRL151-1,OperatorPairs,0.0
ODRL152-1,OperatorPairs,0.0
ODRL153-1,OperatorPairs,0.0
ODRL154-1,OperatorPairs,0.0
ODRL155-1,OperatorPairs,0.0
ODRL156-1,OperatorPairs,0.0
ODRL157-1,OperatorPairs,0.0
ODRL158-1,OperatorPairs,0.0
ODRL159-1,OperatorPairs,0.0
ODRL160-1,OperatorPairs,0.0
ODRL161-1,OperatorPairs,0.0
ODRL020-1,Purpose,0.0
ODRL021-1,Purpose,0.0
ODRL022-1,Purpose,0.0
ODRL023-1,Purpose,0.0
ODRL024-1,Purpose,0.0
ODRL025-1,Purpose,0.0
ODRL026-1,Purpose,0.0
ODRL027-1,Purpose,0.0
ODRL028-1,Purpose,0.0
ODRL029-1,Purpose,0.0
ODRL070-1,Runtime,0.0
ODRL071-1,Runtime,0.0
ODRL072-1,Runtime,0.0
ODRL073-1,Runtime,0.0
ODRL074-1,Runtime,0.0
ODRL075-1,Runtime,0.0
ODRL300-1,Scaled,0.5
ODRL301-1,Scaled,0.5
ODRL302-1,Scaled,0.5
ODRL303-1,Scaled,0.5
ODRL304-1,Scaled,0.5
ODRL305-1,Scaled,0.5
ODRL306-1,Scaled,0.5
ODRL307-1,Scaled,0.5
ODRL308-1,Scaled,0.5
ODRL309-1,Scaled,0.5
ODRL310-1,Scaled,0.5
ODRL311-1,Scaled,0.5
ODRL312-1,Scaled,0.5
ODRL313-1,Scaled,0.5
ODRL314-1,Scaled,0.5
ODRL315-1,Scaled,0.5
ODRL316-1,Scaled,0.5
ODRL317-1,Scaled,0.5
ODRL318-1,Scaled,0.5
ODRL319-1,Scaled,0.5
ODRL320-1,Scaled,0.5
ODRL321-1,Scaled,0.5
ODRL322-1,Scaled,0.5
ODRL323-1,Scaled,0.5
ODRL010-1,Spatial,0.0
ODRL011-1,Spatial,0.0
ODRL012-1,Spatial,0.0
ODRL013-1,Spatial,0.0
ODRL014-1,Spatial,0.0
ODRL015-1,Spatial,0.0
